"Nome da campanha","Nome do conjunto de anúncios","Nome do anúncio","Estado de apresentação","Nível de apresentação",Alcance,Impressões,Frequência,"Tipo de resultado",Resultados,"Custo por resultado","Montante gasto (BRL)","Começa a","Termina a","CPM (Custo por 1000 impressões)","Cliques na ligação","CPC (Custo por clique na ligação)","CTR (Taxa de cliques na ligação)","Leads (formulário)","Início dos relatórios","Fim dos relatórios"
"V4 | B + C | MEIO | LP | 09092025 - Teste de Públicos + Criativo","00 - Alto Padrão | Recife | 30+","AD01 - Roteiro 1",not_delivering,ad,10126,15477,1.52844164,"Contactos no site",230,5.39917391,1241.81,2025-09-11,"A decorrer",80.23583382,3156,0.39347592,20.39154875,,2025-07-18,2026-03-03
"[V4] [B] [IS] Cadastro | LP - 06/01/2026","Alto padrão | 25+","AD01 - Roteiro 1 [V]",active,ad,12039,24346,2.02226099,"Leads no site",46,14.11934783,649.49,2026-01-06,"A decorrer",26.67748295,417,1.55752998,1.71280703,,2025-07-18,2026-03-03
"[V4] [B] [IS] Cadastro | LP - 06/01/2026","LKL 1% Instagram + Sites","AD01 - Roteiro 1 [V]",active,ad,6983,10410,1.49076328,"Leads no site",10,22.595,225.95,2026-01-06,"A decorrer",21.70509126,111,2.03558559,1.06628242,,2025-07-18,2026-03-03
"V4 | B + C | MEIO | LP | 09092025 - Teste de Públicos + Criativo","00 - Advantage + | Recife | 30+","AD01 - Roteiro 1",not_delivering,ad,1787,2170,1.21432569,"Contactos no site",11,7.23818182,79.62,2025-09-11,"A decorrer",36.69124424,188,0.42351064,8.66359447,,2025-07-18,2026-03-03
"[V4] [B] [IS] Leads | Advogado - 19/01/2026","Advogados - Recife | 28+","AD03 - Balança [E]",not_delivering,ad,1305,2000,1.53256705,,,,69.28,2026-01-23,"A decorrer",34.64,49,1.41387755,2.45,,2025-07-18,2026-03-03
"[V4] [B] [IS] Leads | Advogado - 19/01/2026","Advogados - Recife | 28+","AD02 - Honorários [V]",not_delivering,ad,697,866,1.24246772,,,,43.22,2026-01-23,"A decorrer",49.90762125,16,2.70125,1.84757506,,2025-07-18,2026-03-03
"[V4] [B] [IS] Cadastro | LP - 06/01/2026","Alto padrão | 25+","AD07 - Reportagem [V]",inactive,ad,804,1031,1.28233831,"Leads no site",2,19.705,39.41,2026-01-06,"A decorrer",38.22502425,29,1.35896552,2.8128031,,2025-07-18,2026-03-03
"[V4] [B] [IS] Nativo | Advogado - 25/02/2026","Advogados - Recife | 28+","AD04 - Praia [E]",active,ad,773,966,1.24967658,"Leads (formulário)",3,10.44,31.32,2026-02-25,"A decorrer",32.42236025,14,2.23714286,1.44927536,3,2025-07-18,2026-03-03
"[V4] [B] [IS] Leads | Advogado - 19/01/2026","Alto padrão - Recife | 28+","AD02 - Honorários [V]",not_delivering,ad,460,577,1.25434783,,,,29.92,2026-01-23,"A decorrer",51.85441941,26,1.15076923,4.50606586,,2025-07-18,2026-03-03
"Post do Instagram: A culpa nunca é de quem foi...","Post do Instagram: A culpa nunca é de quem foi...","Post do Instagram: A culpa nunca é de quem foi...",not_delivering,ad,5093,5618,1.10308266,"Visitas ao perfil do Instagram",552,0.05190217,28.65,2025-10-30,2025-11-02,5.0996796,561,0.05106952,9.98576006,,2025-07-18,2026-03-03
"[V4] [B] [IS] Nativo | Advogado - 25/02/2026","Alto padrão - Recife | 28+","AD02 - Honorários [V]",active,ad,682,867,1.271261,"Leads (formulário)",3,7.91333333,23.74,2026-02-25,"A decorrer",27.38177624,20,1.187,2.30680507,3,2025-07-18,2026-03-03
"[V4] [B] [IS] Leads | Advogado - 19/01/2026","Alto padrão - Recife | 28+","AD03 - Balança [E]",not_delivering,ad,469,607,1.29424307,,,,21.66,2026-01-23,"A decorrer",35.68369028,15,1.444,2.47116969,,2025-07-18,2026-03-03
"[V4] [B] [IS] Leads | Advogado - 19/01/2026","Advogados - Recife | 28+","AD04 - Praia [E]",not_delivering,ad,288,377,1.30902778,,,,16.8,2026-01-23,"A decorrer",44.56233422,5,3.36,1.32625995,,2025-07-18,2026-03-03
"V4 | LEADS | LP | MEIO | PERENE","Recife - Tomadores de Decisão Empresarial","170825 | FEED | 04",not_delivering,ad,1818,1907,1.0489549,"Cliques na ligação",15,0.48733333,7.31,2025-08-17,"A decorrer",3.83324594,15,0.48733333,0.78657577,,2025-07-18,2026-03-03
"[V4] [B] [IS] Leads | Advogado - 19/01/2026","Alto padrão - Recife | 28+","AD04 - Praia [E]",not_delivering,ad,93,104,1.11827957,,,,7.02,2026-01-23,"A decorrer",67.5,2,3.51,1.92307692,,2025-07-18,2026-03-03
"[V4] [B] [IS] Cadastro | LP - 06/01/2026","Alto padrão | 25+","AD08 - Detetive particular [E]",active,ad,280,304,1.08571429,,,,6.91,2026-01-06,"A decorrer",22.73026316,5,1.382,1.64473684,,2025-07-18,2026-03-03
"V4 | LEADS | LP | MEIO | PERENE","Recife - Tomadores de Decisão Empresarial","170825 | FEED | 03",not_delivering,ad,1412,1520,1.07648725,"Cliques na ligação",10,0.505,5.05,2025-08-17,"A decorrer",3.32236842,10,0.505,0.65789474,,2025-07-18,2026-03-03
"[V4] [B] [IS] Leads | Advogado - 19/01/2026","Advogados - Recife | 28+","AD05 - Atestado [E]",not_delivering,ad,118,134,1.13559322,,,,4.98,2026-01-23,"A decorrer",37.1641791,11,0.45272727,8.20895522,,2025-07-18,2026-03-03
"[V4] [B] [IS] Leads | Advogado - 19/01/2026","Advogados - Recife | 28+","AD06 - 15 dias [E]",not_delivering,ad,58,78,1.34482759,,,,4.92,2026-01-23,"A decorrer",63.07692308,1,4.92,1.28205128,,2025-07-18,2026-03-03
"[V4] [B] [IS] Leads | Advogado - 19/01/2026","Alto padrão - Recife | 28+","AD05 - Atestado [E]",not_delivering,ad,89,111,1.24719101,,,,4.3,2026-01-23,"A decorrer",38.73873874,5,0.86,4.5045045,,2025-07-18,2026-03-03
"[V4] [B] [IS] Leads | Advogado - 19/01/2026","Alto padrão - Recife | 28+","AD05 - Atestado [E]",not_delivering,ad,94,98,1.04255319,,,,3.55,2026-01-23,"A decorrer",36.2244898,7,0.50714286,7.14285714,,2025-07-18,2026-03-03
"[V4] [B] [IS] Nativo | Advogado - 25/02/2026","Alto padrão - Recife | 28+","AD06 - 15 dias [E]",active,ad,70,79,1.12857143,,,,2.97,2026-02-25,"A decorrer",37.59493671,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Nativo | Advogado - 25/02/2026","Alto padrão - Recife | 28+","AD04 - Praia [E]",active,ad,88,92,1.04545455,,,,2.3,2026-02-25,"A decorrer",25,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Cadastro | LP - 06/01/2026","LKL 1% Instagram + Sites","AD08 - Detetive particular [E]",active,ad,91,100,1.0989011,,,,1.51,2026-01-06,"A decorrer",15.1,3,0.50333333,3,,2025-07-18,2026-03-03
"V4 | LEADS | LP | MEIO | PERENE","Recife - Tomadores de Decisão Empresarial","170825 | FEED | 01",not_delivering,ad,307,318,1.03583062,"Cliques na ligação",3,0.33333333,1,2025-08-17,"A decorrer",3.14465409,3,0.33333333,0.94339623,,2025-07-18,2026-03-03
"[V4] [B] [IS] Cadastro | LP - 06/01/2026","LKL 1% Instagram + Sites","AD07 - Reportagem [V]",inactive,ad,33,34,1.03030303,,,,0.72,2026-01-06,"A decorrer",21.17647059,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Cadastro | LP - 06/01/2026",Retarget,"DP06 - Consome [E]",active,ad,12,18,1.5,,,,0.54,2026-02-23,"A decorrer",30,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Nativo | Advogado - 25/02/2026","Alto padrão - Recife | 28+","AD03 - Balança [E]",active,ad,19,19,1,,,,0.45,2026-02-25,"A decorrer",23.68421053,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Nativo | Advogado - 25/02/2026","Advogados - Recife | 28+","AD03 - Balança [E]",active,ad,4,5,1.25,,,,0.29,2026-02-25,"A decorrer",58,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Cadastro | LP - 06/01/2026",Retarget,"AD08 - Detetive particular [E]",active,ad,10,15,1.5,,,,0.24,2026-02-23,"A decorrer",16,,,,,2025-07-18,2026-03-03
"V4 | LEADS | LP | MEIO | PERENE","Recife - Tomadores de Decisão Empresarial","170825 | FEED | 02",not_delivering,ad,75,75,1,,,,0.11,2025-08-17,"A decorrer",1.46666667,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Cadastro | LP - 06/01/2026",Retarget,"DP05 - Dúvida [E]",active,ad,4,4,1,,,,0.06,2026-02-23,"A decorrer",15,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Cadastro | LP - 06/01/2026",Retarget,"DP07 - Sono vai embora [C]",active,ad,1,1,1,,,,0.05,2026-02-23,"A decorrer",50,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Nativo | Advogado - 25/02/2026","Advogados - Recife | 28+","AD02 - Honorários [V]",active,ad,2,2,1,,,,0.02,2026-02-25,"A decorrer",10,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Nativo | Advogado - 25/02/2026","Alto padrão - Recife | 28+","AD02 - Honorários [V]",active,ad,2,2,1,,,,0,2026-02-25,"A decorrer",0,,,,,2025-07-18,2026-03-03
"[V4] [B] [IS] Nativo | Advogado - 25/02/2026","Advogados - Recife | 28+","AD06 - 15 dias [E]",active,ad,1,1,1,,,,0,2026-02-25,"A decorrer",0,,,,,2025-07-18,2026-03-03
